Cost;Sensor distance;Static;Sampling time;Simulation time;Error
4117.0;6;1;1800;86400;0.09
4117.0;6;1;1800;86400;0.09
368.0;30;1;1800;86400;0.06
368.0;30;1;1800;86400;0.06
368.0;30;1;900;86400;0.09
368.0;30;1;900;86400;0.09
