Wind Speed (km/h),w,wnw,nw,nnw,n,nne,ne,ene,e,ese,se,sse,s,ssw,sw,wsw
0,0.142857143,0,0.071428571,0,0.071428571,0.071428571,0,0.142857143,0,0.071428571,0,0,0.214285714,0.071428571,0.142857143,0
0.5,0.092592593,0.055555556,0.071428571,0.05026455,0.076719577,0.055555556,0.042328042,0.071428571,0.042328042,0.060846561,0.05026455,0.055555556,0.087301587,0.058201058,0.071428571,0.058201058
3,0.08652576,0.077278732,0.075957728,0.056142668,0.048216645,0.035006605,0.034346103,0.046235139,0.047556143,0.059445178,0.067371202,0.068692206,0.08322325,0.068692206,0.07661823,0.068692206
8.5,0.102390618,0.073071719,0.068110059,0.044203879,0.030221019,0.0248083,0.027514659,0.041948579,0.055480379,0.069012179,0.076229138,0.065403699,0.072169599,0.072169599,0.085701398,0.091565178
15.5,0.117398649,0.071790541,0.048141892,0.034628378,0.022381757,0.018158784,0.021114865,0.038429054,0.062922297,0.079391892,0.076435811,0.060810811,0.065033784,0.079391892,0.094172297,0.109797297
23.5,0.13282863,0.064693737,0.035099794,0.029593944,0.0220234,0.020646937,0.025464556,0.039917412,0.063317275,0.075705437,0.0660702,0.050929112,0.0660702,0.088781831,0.102546456,0.116311081
33,0.144026187,0.080196399,0.027823241,0.026186579,0.024549918,0.021276596,0.024549918,0.044189853,0.065466448,0.065466448,0.044189853,0.045826514,0.058919804,0.083469722,0.12111293,0.122749591
44,0.141242938,0.079096045,0.039548023,0.039548023,0.033898305,0.02259887,0.033898305,0.033898305,0.04519774,0.056497175,0.039548023,0.028248588,0.04519774,0.073446328,0.129943503,0.15819209
55.5,0.19047619,0.119047619,0.023809524,0.023809524,0.023809524,0.023809524,0.047619048,0.023809524,0.047619048,0,0,0.023809524,0.047619048,0.047619048,0.119047619,0.238095238
